,label,data_index,Number_actives_stable,Number_inactives_stable,Number_targets,Stable_Actives_Layer_1,Stable_Inactives_Layer_1,Stable_Actives_Layer_2,Stable_Inactives_Layer_2,Stable_Actives_Layer_3,Stable_Inactives_Layer_3,Stable_Actives_Layer_4,Stable_Inactives_Layer_4,Stable_Actives_Layer_5,Stable_Inactives_Layer_5,LB_Layer_0_Neuron_0,UB_Layer_0_Neuron_0,LB_Layer_0_Neuron_1,UB_Layer_0_Neuron_1,LB_Layer_1_Neuron_0,UB_Layer_1_Neuron_0,LB_Layer_1_Neuron_1,UB_Layer_1_Neuron_1,LB_Layer_1_Neuron_2,UB_Layer_1_Neuron_2,LB_Layer_1_Neuron_3,UB_Layer_1_Neuron_3,LB_Layer_1_Neuron_4,UB_Layer_1_Neuron_4,LB_Layer_1_Neuron_5,UB_Layer_1_Neuron_5,LB_Layer_1_Neuron_6,UB_Layer_1_Neuron_6,LB_Layer_1_Neuron_7,UB_Layer_1_Neuron_7,LB_Layer_1_Neuron_8,UB_Layer_1_Neuron_8,LB_Layer_1_Neuron_9,UB_Layer_1_Neuron_9,LB_Layer_2_Neuron_0,UB_Layer_2_Neuron_0,LB_Layer_2_Neuron_1,UB_Layer_2_Neuron_1,LB_Layer_2_Neuron_2,UB_Layer_2_Neuron_2,LB_Layer_2_Neuron_3,UB_Layer_2_Neuron_3,LB_Layer_2_Neuron_4,UB_Layer_2_Neuron_4,LB_Layer_2_Neuron_5,UB_Layer_2_Neuron_5,LB_Layer_2_Neuron_6,UB_Layer_2_Neuron_6,LB_Layer_2_Neuron_7,UB_Layer_2_Neuron_7,LB_Layer_2_Neuron_8,UB_Layer_2_Neuron_8,LB_Layer_2_Neuron_9,UB_Layer_2_Neuron_9,LB_Layer_3_Neuron_0,UB_Layer_3_Neuron_0,LB_Layer_3_Neuron_1,UB_Layer_3_Neuron_1,LB_Layer_3_Neuron_2,UB_Layer_3_Neuron_2,LB_Layer_3_Neuron_3,UB_Layer_3_Neuron_3,LB_Layer_3_Neuron_4,UB_Layer_3_Neuron_4,LB_Layer_3_Neuron_5,UB_Layer_3_Neuron_5,LB_Layer_3_Neuron_6,UB_Layer_3_Neuron_6,LB_Layer_3_Neuron_7,UB_Layer_3_Neuron_7,LB_Layer_3_Neuron_8,UB_Layer_3_Neuron_8,LB_Layer_3_Neuron_9,UB_Layer_3_Neuron_9,LB_Layer_4_Neuron_0,UB_Layer_4_Neuron_0,LB_Layer_4_Neuron_1,UB_Layer_4_Neuron_1,LB_Layer_4_Neuron_2,UB_Layer_4_Neuron_2,LB_Layer_4_Neuron_3,UB_Layer_4_Neuron_3,LB_Layer_4_Neuron_4,UB_Layer_4_Neuron_4,LB_Layer_4_Neuron_5,UB_Layer_4_Neuron_5,LB_Layer_4_Neuron_6,UB_Layer_4_Neuron_6,LB_Layer_4_Neuron_7,UB_Layer_4_Neuron_7,LB_Layer_4_Neuron_8,UB_Layer_4_Neuron_8,LB_Layer_4_Neuron_9,UB_Layer_4_Neuron_9,LB_Layer_5_Neuron_0,UB_Layer_5_Neuron_0,LB_Layer_5_Neuron_1,UB_Layer_5_Neuron_1,LB_Layer_5_Neuron_2,UB_Layer_5_Neuron_2
0,tensor([2]),0,3,11,2,0.0,4.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.3897550106048584,1.3897550106048584,0.09096014499664307,1.090960144996643,-0.029598690569400787,1.0380152463912964,-0.23929373919963837,0.0015043597668409348,-0.07667198777198792,0.3814123272895813,-2.366079568862915,-0.32361629605293274,-2.725322961807251,-0.5866096019744873,0.052724093198776245,0.9745745062828064,-1.9746298789978027,-0.3155375123023987,-2.5797910690307617,-0.4522598683834076,-0.09961855411529541,0.7134691476821899,-1.849920630455017,1.0289913415908813,-0.6442083716392517,1.6697860956192017,-0.5198836326599121,0.4850096106529236,-0.04563188552856445,1.140282392501831,-1.6563814878463745,-0.05328369140625,-0.42798545956611633,-0.02009528875350952,0.023837774991989136,1.5358574390411377,-1.6339975595474243,-0.04249405860900879,-0.031140685081481934,1.2127294540405273,0.1320016086101532,4.281454086303711,-0.2617425322532654,1.989809274673462,-2.3302340507507324,-0.029798835515975952,-1.507753610610962,-0.3083365559577942,-4.366167068481445,-1.0833311080932617,-0.6824725270271301,2.8121519088745117,-0.1303565502166748,5.087357997894287,-3.6994762420654297,0.4685254395008087,-3.135695219039917,1.2948462963104248,-0.5638884902000427,3.058844566345215,0.7415315508842468,3.0088374614715576,-0.3153734803199768,4.763018608093262,-3.576125144958496,8.122406959533691,-8.598620414733887,1.3706339597702026,-2.5903706550598145,11.650370597839355,-3.4791224002838135,8.768413543701172,-1.9826874732971191,12.653658866882324,-5.015006065368652,-0.47930824756622314,-2.5644161701202393,0.9613670706748962,-10.054883003234863,4.0218610763549805,-13.019569396972656,0.9995959997177124,-1.0329859256744385,0.3703342080116272,-22.42397689819336,27.45808982849121,-22.122047424316406,12.53850269317627,-5.629493236541748,81.13423919677734
1,tensor([2]),1,3,12,2,0.0,5.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.526444673538208,1.526444673538208,0.2139788269996643,1.2139787673950195,0.09746333211660385,1.1650772094726562,-0.26172930002212524,-0.020931201055645943,-0.1076403558254242,0.35044392943382263,-2.6250693798065186,-0.5826061367988586,-3.0055668354034424,-0.8668538331985474,0.08422836661338806,1.0060787200927734,-2.184687614440918,-0.5255955457687378,-2.8529138565063477,-0.7253830432891846,0.001384824514389038,0.8144724369049072,-1.8809559345245361,0.9979557991027832,-0.47497427463531494,1.8760125637054443,-0.44593068957328796,0.5891467332839966,-0.06420281529426575,1.0832631587982178,-1.7223221063613892,-0.11361503601074219,-0.41803187131881714,-0.0565837025642395,0.030110597610473633,1.476712703704834,-1.7584502696990967,-0.18562445044517517,-0.03718578815460205,1.1432900428771973,0.1603284776210785,4.2289509773254395,-0.1822006106376648,2.0409679412841797,-2.432939291000366,-0.20226916670799255,-1.49286687374115,-0.346954882144928,-4.488981246948242,-1.3174090385437012,-0.7227010130882263,2.8251633644104004,-0.260273277759552,4.880712509155273,-3.5015463829040527,0.5629587769508362,-2.9991912841796875,1.5078754425048828,-0.2845512330532074,3.051133632659912,0.835868239402771,2.9943127632141113,-0.42878836393356323,4.562539100646973,-3.268251419067383,7.796864032745361,-8.455558776855469,1.6303434371948242,-3.1735544204711914,11.109301567077637,-3.0551974773406982,8.456436157226562,-2.687953472137451,12.614151000976562,-4.985824108123779,-0.25296103954315186,-2.525587558746338,0.9971697330474854,-9.462444305419922,4.552697658538818,-12.488046646118164,1.1925185918807983,-1.123678207397461,0.30257511138916016,-21.618927001953125,27.338438034057617,-21.230009078979492,13.296852111816406,-6.467026710510254,78.29399871826172
2,tensor([1]),2,7,20,1,0.0,7.0,4.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,3.9036288261413574,4.903628826141357,2.1159040927886963,3.1159040927886963,2.041100263595581,3.1087143421173096,-0.573616623878479,-0.33281850814819336,-0.46288952231407166,-0.004805177450180054,-7.343708038330078,-5.301244735717773,-8.923103332519531,-6.784389972686768,1.2765140533447266,2.198364496231079,-5.9831624031066895,-4.324070453643799,-8.129194259643555,-6.001662254333496,1.6533974409103394,2.466485023498535,-4.235370635986328,-1.3564585447311401,3.720713706626391,6.007277011871338,1.2911611795425415,2.3564255237579346,-0.6194822788238525,-0.007931441068649292,-3.3534088134765625,-2.035782814025879,-0.7957474589347839,-0.006523760035634041,-0.047992318868637085,1.2686830759048462,-4.047976970672607,-2.544135570526123,-0.5892876386642456,-0.06700345873832703,1.9406862258911133,3.7920756340026855,1.2114711999893188,2.1600017350323526,-7.407408714294434,-3.625633955001831,-3.2209880352020264,-1.135611891746521,-9.92481803894043,-4.984767913818359,-1.6811496019363403,-0.07354205846786499,-2.1442065238952637,0.43616223335266113,0.39130300283432007,1.291385531425476,2.307258498461999,5.415534033355532,-0.27946528792381287,0.4350419342517853,4.252834333544884,7.109510074574726,-2.1251959800720215,0.09805452823638916,-2.5277137756347656,0.16736817359924316,0.7589659690856934,5.5024333000183105,-3.3233933448791504,-0.0633167028427124,-2.166525363922119,-0.020159482955932617,0.6314367055892944,5.634842872619629,-6.022029876708984,-0.22721338272094727,0.012020409107208252,1.575566053390503,3.235591173171997,9.867880821228027,0.49913904070854187,4.352348804473877,-3.019341468811035,-0.8981363773345947,4.417694091796875,21.982370376586914,6.698521614074707,21.104677200317383,-12.057729721069336,0.40563756227493286
3,tensor([0]),3,9,21,2,0.0,6.0,5.0,3.0,4.0,4.0,0.0,8.0,0.0,0.0,1.4705567359924316,2.4705567359924316,3.46362042427063,4.463620185852051,3.4978039264678955,4.565417766571045,-0.9281799793243408,-0.6873818635940552,-1.186342477798462,-0.7282581329345703,-7.958930015563965,-5.91646671295166,-7.064658164978027,-4.925945281982422,-0.5714728832244873,0.3503774404525757,-6.571256160736084,-4.912164211273193,-7.844584941864014,-5.7170538902282715,2.4786276817321777,3.291715145111084,1.254367709159851,4.133278846740723,-0.2569563388824463,2.5429348945617676,2.046969175338745,3.158015012741089,0.23276400566101074,2.754558563232422,-2.969327926635742,-1.5398935079574585,-2.0979666709899902,-0.16923925280570984,-0.5106468200683594,0.24593958258628845,-6.90765380859375,-3.7651567459106445,0.5141201019287109,4.441486358642578,1.7590535879135132,7.710614046392777,4.003604412078857,8.195813179016113,-2.10648775100708,-0.03067117929458618,-0.9969151020050049,-0.294586718082428,-17.79944610595703,-6.099471092224121,3.270085948017312,11.991481855055156,0.33869004249572754,10.181727409362793,-8.148380279541016,-0.7836364507675171,-6.115325927734375,1.3353036642074585,2.1027159690856934,13.80206298828125,3.089637041091919,6.356075286865234,-0.943300724029541,6.2724609375,-6.798152923583984,-1.991410255432129,-21.10784339904785,-0.8902839422225952,-9.148972511291504,-1.9064693450927734,-7.041258335113525,-1.3983888626098633,3.888688087463379,30.619667053222656,-10.05514907836914,-1.861501693725586,-6.404428958892822,-1.1045615673065186,3.427614688873291,10.969048500061035,-30.786632537841797,-1.1344490051269531,-2.6153318881988525,-1.183875560760498,8.335929870605469,64.65160369873047,2.4883203506469727,21.080537796020508,-5.2151103019714355,60.34651565551758
4,tensor([0]),4,8,21,2,0.0,6.0,5.0,3.0,3.0,4.0,0.0,8.0,0.0,0.0,1.5300729274749756,2.5300729274749756,3.3196427822113037,4.319643020629883,3.3454818725585938,4.4130964279174805,-0.8958479166030884,-0.6550498008728027,-1.1286442279815674,-0.6705598831176758,-7.779905319213867,-5.7374420166015625,-7.011898517608643,-4.873184680938721,-0.4858739972114563,0.43597647547721863,-6.421079635620117,-4.76198673248291,-7.70791482925415,-5.580383777618408,2.3761250972747803,3.1892130374908447,0.9651410579681396,3.8440535068511963,-0.06820666790008545,2.836085796356201,1.9496135711669922,3.063281536102295,0.10065388679504395,2.517875909805298,-2.9332172870635986,-1.4170300960540771,-1.9959055185317993,-0.04918023943901062,-0.5130419135093689,0.16597911715507507,-6.635643005371094,-3.4366025924682617,0.1987295150756836,4.1364335256248195,1.2711924314498901,7.368320465087891,3.543344020843506,7.750522613525391,-2.4012842178344727,-0.1329628825187683,-0.9086293578147888,-0.226796954870224,-17.090843200683594,-5.21617317199707,2.455475400111654,11.18411262921213,-0.23811650276184082,9.18477725982666,-7.400733470916748,-0.10110139846801758,-5.544300556182861,2.043442726135254,1.1500498056411743,13.019452095031738,2.754664897918701,5.906762599945068,-1.5251960754394531,5.595539569854736,-6.970132350921631,-1.8251838684082031,-19.246292114257812,-0.2493588924407959,-9.776445388793945,-1.7885985374450684,-7.387825012207031,-1.290605068206787,2.37457275390625,28.132221221923828,-9.220146179199219,-0.8588128089904785,-5.943591117858887,-0.26653239130973816,3.2201309204101562,11.572196960449219,-27.850448608398438,-1.002318024635315,-2.4824788570404053,-0.9121415615081787,7.028674125671387,63.393577575683594,2.36360502243042,24.0316219329834,-6.364362716674805,55.60680389404297
5,tensor([2]),5,3,12,2,0.0,5.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.3223423957824707,1.3223423957824707,0.2072129249572754,1.2072129249572754,0.09371056407690048,1.1613245010375977,-0.26593559980392456,-0.025137493386864662,-0.12515181303024292,0.3329325020313263,-2.499687910079956,-0.45722463726997375,-2.7436516284942627,-0.6049385070800781,-0.02719232439994812,0.8946581482887268,-2.087451696395874,-0.4283594489097595,-2.674006938934326,-0.5464756488800049,-0.018239319324493408,0.7948483824729919,-1.587678074836731,1.2912338972091675,-0.7884166240692139,1.738648772239685,-0.4515208601951599,0.570635974407196,-0.06322294473648071,1.2040441036224365,-1.6743152141571045,-0.02704077959060669,-0.5232423543930054,-0.05837804451584816,0.03069448471069336,1.3548675775527954,-1.914158582687378,-0.11544099450111389,-0.055306583642959595,1.49507737159729,0.017726272344589233,4.532289472674006,-0.1618099808692932,2.3902318477630615,-2.2361397743225098,-0.1421092450618744,-1.423195719718933,-0.02266368269920349,-5.119502067565918,-1.0375807285308838,-0.6615968346595764,3.440169334411621,-0.4112504720687866,5.243140697479248,-3.8097541332244873,0.4666523039340973,-3.274582862854004,1.5365859270095825,-0.32106590270996094,3.7608413696289062,0.5234639644622803,2.897404670715332,-0.4461953639984131,4.857927322387695,-2.8413474559783936,7.745624542236328,-9.141119956970215,1.5569626092910767,-5.442807674407959,10.939458847045898,-3.76580548286438,8.246160507202148,-3.3118896484375,13.747434616088867,-4.918664932250977,-0.06015431880950928,-2.8478646278381348,1.102134346961975,-9.331743240356445,4.526468276977539,-13.68972110748291,1.0732512474060059,-1.140392541885376,0.39636874198913574,-21.346078872680664,30.85439682006836,-21.004844665527344,15.509367942810059,-6.169180870056152,80.4694595336914
6,tensor([1]),6,7,22,1,0.0,7.0,4.0,5.0,3.0,5.0,0.0,5.0,0.0,0.0,3.850560188293457,4.850560188293457,2.233717918395996,3.233717918395996,2.165814161300659,3.2334282398223877,-0.6001942157745361,-0.3593961298465729,-0.5105298757553101,-0.05244550108909607,-7.487731456756592,-5.445268154144287,-8.960799217224121,-6.822085857391357,1.2040331363677979,2.1258835792541504,-6.1041460037231445,-4.445054054260254,-8.237387657165527,-6.109856128692627,1.736960768699646,2.550048351287842,-3.9922235012054443,-1.1133118867874146,3.760944636532095,6.0475077629089355,1.3757387399673462,2.4410030841827393,-0.680057168006897,-0.0685063898563385,-3.323676109313965,-2.0060501098632812,-0.5088124871253967,-0.25209248065948486,-0.16942700743675232,1.147248387336731,-4.103222370147705,-2.5993812084198,-0.6254214644432068,-0.1031373143196106,1.7996382604586953,3.6510276794433594,1.313621815725078,2.2621521949768066,-7.312363147735596,-3.5339207649230957,-3.1068270206451416,-1.0262717008590698,-9.920990943908691,-5.091867446899414,-1.5348312854766846,-0.01856723427772522,-2.2764675617218018,0.16852807998657227,0.4857714772224426,1.3858541250228882,2.4522864251486345,5.560561960042167,-0.205860435962677,0.4607686400413513,4.133967729686057,6.990643470715899,-2.3847057819366455,-0.13244259357452393,-2.872087240219116,-0.17825531959533691,1.1245737075805664,5.630042552947998,-3.519960880279541,-0.6234414577484131,-2.8992722034454346,-0.24328885972499847,0.5090311765670776,5.1856184005737305,-5.690402030944824,-0.0318148136138916,0.1854810118675232,1.7447305917739868,3.7964320182800293,10.06916618347168,0.7445298433303833,4.233187198638916,-2.9653687477111816,-0.8995283842086792,4.419428825378418,22.95470428466797,7.577442169189453,22.31502914428711,-12.248170852661133,-2.3683907985687256
7,tensor([1]),7,7,20,1,0.0,7.0,4.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,4.0102858543396,5.0102858543396,2.1755146980285645,3.1755146980285645,2.1020047664642334,3.169618844985962,-0.5833694934844971,-0.3425713777542114,-0.4739448130130768,-0.01586046814918518,-7.492057800292969,-5.449594497680664,-9.109585762023926,-6.970872402191162,1.3143341541290283,2.2361843585968018,-6.102567672729492,-4.443475723266602,-8.295238494873047,-6.1677069664001465,1.7052329778671265,2.5183205604553223,-4.310362815856934,-1.4314504861831665,3.83654889897975,6.123111724853516,1.342791199684143,2.40805547868043,-0.6338392496109009,-0.02228844165802002,-3.4141123294830322,-2.096486806869507,-0.8049998879432678,-0.015776189044117928,-0.0399685800075531,1.2767068147659302,-4.124688625335693,-2.620847702026367,-0.6027493476867676,-0.08046519756317139,1.9972613553888534,3.8486504554748535,1.2509645535210367,2.1994950771331787,-7.530787467956543,-3.7487926483154297,-3.2665045261383057,-1.1808100938796997,-10.09431266784668,-5.146933555603027,-1.6959483623504639,-0.08834093809127808,-2.2005739212036133,0.38873934745788574,0.415236234664917,1.3153187036514282,2.410262414640686,5.518537709614253,-0.2669982314109802,0.45206665992736816,4.372652101440469,7.229327248581014,-2.174807548522949,0.05329334735870361,-2.612994432449341,0.035826683044433594,0.9043192863464355,5.608317852020264,-3.393803119659424,-0.2443782091140747,-2.221749782562256,-0.1776038408279419,0.6749697923660278,5.604182243347168,-6.051191329956055,-0.27499842643737793,0.05738866329193115,1.6147898435592651,3.5226635932922363,10.053215026855469,0.6665973663330078,4.410506248474121,-3.059396743774414,-0.9515933990478516,4.619009494781494,22.27155113220215,7.211028575897217,21.504796981811523,-12.317361831665039,-0.9027101397514343
8,tensor([1]),8,7,22,1,0.0,7.0,4.0,5.0,3.0,5.0,0.0,5.0,0.0,0.0,3.803999423980713,4.803999423980713,2.3997905254364014,3.3997905254364014,2.341148853302002,3.4087629318237305,-0.6368768811225891,-0.39607876539230347,-0.5749237537384033,-0.11683937907218933,-7.7067179679870605,-5.664254665374756,-9.049354553222656,-6.910641193389893,1.1176230907440186,2.039473533630371,-6.286997318267822,-4.627905368804932,-8.413447380065918,-6.285915374755859,1.8567748069763184,2.6698622703552246,-3.691373586654663,-0.8124617338180542,3.837855815887451,6.12441896897397,1.4968302613586513,2.5620944499969482,-0.7619979381561279,-0.15044710040092468,-3.297790050506592,-1.9801644086837769,-0.48382872343063354,-0.22710870206356049,-0.3259070813655853,0.990768313407898,-4.191413402557373,-2.6875720024108887,-0.675336480140686,-0.15305233001708984,1.6278831958770752,3.479272606139862,1.4550362825393677,2.403566803677805,-7.214663982391357,-3.4405150413513184,-2.967754602432251,-0.8934118747711182,-9.951865196228027,-5.265683174133301,-1.3473702669143677,0.08452925086021423,-2.8239877223968506,-0.19011735916137695,0.6138873100280762,1.5139700174331665,2.6629884641923174,5.707021236419678,-0.10734659433364868,0.5154630541801453,4.004485303529678,6.861161033060224,-2.818270444869995,-0.12127545475959778,-3.7889833450317383,-0.2737054228782654,1.421293020248413,5.843659400939941,-3.9118194580078125,-0.958987832069397,-3.126946449279785,-0.4807250499725342,0.35879984498023987,4.904480934143066,-3.7118911743164062,-1.325077772140503,0.2505369186401367,2.0001444816589355,4.184160232543945,10.455350875854492,0.6125625371932983,4.090276718139648,-2.9650344848632812,-0.8823459148406982,4.307059288024902,24.19961929321289,7.974530220031738,23.37452507019043,-12.584233283996582,-4.583803653717041
9,tensor([1]),9,7,16,2,0.0,6.0,5.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,4.096737861633301,5.096737861633301,1.9191129207611084,2.9191129207611084,1.8310637474060059,2.8986778259277344,-0.5263315439224243,-0.28553345799446106,-0.37310245633125305,0.08498184382915497,-7.162196159362793,-5.119732856750488,-8.991127967834473,-6.852415561676025,1.45587158203125,2.3777220249176025,-5.8266096115112305,-4.16751766204834,-8.035561561584473,-5.908029556274414,1.521293044090271,2.334380626678467,-4.796453475952148,-1.9175416231155396,3.618194162542343,6.014786243438721,1.093329668045044,2.222064733505249,-0.4903877079486847,0.16867384314537048,-3.4748449325561523,-2.144716739654541,-0.8592044711112976,-0.05650019645690918,0.14317582547664642,1.7011750936508179,-3.993849754333496,-2.436685085296631,-0.42729055881500244,-0.01265019178390503,2.2763960361480713,4.239107043989399,0.9956824635633894,1.9798334836959839,-7.826078414916992,-3.804065704345703,-3.57529354095459,-1.3494744300842285,-10.28249740600586,-4.860585689544678,-2.043199300765991,-0.3874551057815552,-1.6818122863769531,1.3883715867996216,-0.10466653108596802,1.1149152517318726,2.4282107847936296,5.449254989624023,-0.37355169653892517,0.30494004487991333,4.2778179322891505,7.482796081576453,-1.712965488433838,0.8803422451019287,-2.073507070541382,2.58935284614563,0.42731404304504395,4.081639766693115,-2.3399620056152344,1.882516860961914,-1.8397488594055176,1.7494277954101562,0.8868681192398071,7.810310363769531,-7.3958539962768555,-0.5843923091888428,-0.7299898266792297,1.2326997518539429,0.25554755330085754,9.697206497192383,0.9301972389221191,3.9806089401245117,-3.338019609451294,-0.6809204816818237,-0.8937640190124512,22.486778259277344,-1.5504999160766602,18.054628372192383,-11.8825044631958,13.699637413024902
